experiment_id,plan_status,scope,signal_key,signal,message,can_id,unit,evidence_requirement,suggested_role,suggested_priority,suggested_report_position,suggested_order,derivation_reason,semantic_status,confidence,uncertainty_flags,review_required,review_decision,effective_role,effective_priority,effective_report_position,effective_order,decision_source,human_reason,reviewer,reviewed_at,chinese_semantic
TM3-008,APPROVED,THIS_EXPERIMENT_ONLY,DI_systemState,DI_systemState,DI_systemStatus,0x118,enum,ER-01+ER-04+ER-07,电驱执行状态/ENABLE退出候选,P0,CORE_TIMELINE+CONTROL_RELATIONSHIP,110,由可驱动状态建立与退出需求推导,STRONGLY_SUPPORTED,HIGH,BOUNDARY_CROSSING+MULTIPLE_POSSIBLE_ROLES,YES,ACCEPT,电驱执行状态/ENABLE退出候选,P0,CORE_TIMELINE+CONTROL_RELATIONSHIP,110,HUMAN,接受为电驱执行状态；不等同整车READY或高压许可源,User,2026-09-02,电驱系统运行状态候选
TM3-008,APPROVED,THIS_EXPERIMENT_ONLY,UI_readyForDrive,UI_readyForDrive,UI_status,0x353,boolean,ER-01+ER-04,显示/消费者层可驱动反馈候选,P1,READY_CROSSCHECK_TABLE,120,由READY状态的独立消费者层交叉验证需求推导,PARTIALLY_VALIDATED,MEDIUM,DBC_VERSION_CONFLICT+PROXY_OBSERVATION,YES,ACCEPT,显示/消费者层可驱动反馈候选,P1,READY_CROSSCHECK_TABLE,120,HUMAN,接受为显示消费者状态；不得提升为PERMISSION或COMMAND,User,2026-09-02,用户界面可驱动状态候选
TM3-008,APPROVED,THIS_EXPERIMENT_ONLY,VCFRONT_vehiclePowerState,VCFRONT_vehiclePowerState,VCFRONT_LVPowerState,0x221,enum,ER-01+ER-04+ER-07,整车低压供电状态候选,P0,CORE_TIMELINE+CONTROL_RELATIONSHIP,130,由整车状态从DRIVE向低功耗退出需求推导,INSUFFICIENT_EVIDENCE,MEDIUM,SEMANTIC_CANDIDATE+BOUNDARY_CROSSING,YES,OVERRIDE,车辆供电阶段系统结果候选,P1,CORE_TIMELINE+CONTROL_RELATIONSHIP,130,HUMAN,接受收窄为P1 SYSTEM_RESULT；不作为整车下电请求或命令,User,2026-09-02,前车身控制器发布的车辆供电状态候选
TM3-008,APPROVED,THIS_EXPERIMENT_ONLY,VCFRONT_vehicleStatusDBG,VCFRONT_vehicleStatusDBG,VCFRONT_status,0x2E1,enum,ER-04+ER-07+ER-09,整车下电阶段调试状态候选,P1,SPECIAL_TABLE+ENGINEERING_AUDIT,140,由识别下电阶段状态机需求推导,INSUFFICIENT_EVIDENCE,LOW,MUX_APPLICABILITY_UNCONFIRMED+SEMANTIC_CANDIDATE,YES,EXCLUDE,整车下电阶段调试状态候选,P1,EXCLUDE,140,HUMAN,确认排除；MUX适用性未确认且与既有状态和网络派生证据重叠,User,2026-09-02,前车身控制器整车状态调试候选
TM3-008,APPROVED,THIS_EXPERIMENT_ONLY,VCFRONT_12vStatusForDrive,VCFRONT_12vStatusForDrive,VCFRONT_vehicleStatus,0x3A1,enum,ER-04+ER-06,12V侧退出可驱动状态候选,P1,READY_CROSSCHECK_TABLE+DCDC_TABLE,150,由可驱动退出与低压侧状态交叉验证需求推导,INSUFFICIENT_EVIDENCE,MEDIUM,MULTIPLE_POSSIBLE_ROLES+SEMANTIC_CANDIDATE,YES,ACCEPT,12V侧退出可驱动状态候选,P1,READY_CROSSCHECK_TABLE+DCDC_TABLE,150,HUMAN,接受为12V侧消费者状态；不单独证明DCDC执行或物理输出,User,2026-09-02,12V侧可驱动/退出驱动状态候选
TM3-008,APPROVED,THIS_EXPERIMENT_ONLY,BMS_hvState,BMS_hvState,BMS_status,0x212,enum,ER-01+ER-04+ER-05+ER-07,BMS高压状态/需求执行候选,P0,CORE_TIMELINE+HV_CHAIN_TABLE,160,由起始高压可用和后续高压退出需求推导,SEMANTIC_VALIDATION_FAILED,LOW,STATE_APPLICABILITY_UNCERTAIN+MULTIPLE_POSSIBLE_ROLES,YES,OVERRIDE,BMS高压系统结果/执行候选（低可信验证目标）,P1,HV_SPECIAL_TIMELINE+ENGINEERING_AUDIT,160,HUMAN,Draft成熟度已修正为SEMANTIC_VALIDATION_FAILED/LOW；重新Review后保留为P1验证候选,User,2026-09-02,BMS高压系统状态候选
TM3-008,APPROVED,THIS_EXPERIMENT_ONLY,BMS_contactorState,BMS_contactorState,BMS_status,0x212,enum,ER-01+ER-05+ER-07+ER-09,BMS接触器总执行状态,P0,CORE_TIMELINE+HV_CHAIN_TABLE,170,由接触器退出执行与末态需求推导,STRONGLY_SUPPORTED,HIGH,SUFFICIENCY_RULE_UNCONFIRMED,YES,ACCEPT,BMS接触器总执行状态,P0,CORE_TIMELINE+HV_CHAIN_TABLE,170,HUMAN,接受为接触器总执行状态；TM3-008仍须验证且不能替代下游母线响应,User,2026-09-02,BMS高压接触器总状态
TM3-008,APPROVED,THIS_EXPERIMENT_ONLY,HVP_packContPositiveState,HVP_packContPositiveState,HVP_contactorState,0x20A,enum,ER-05+ER-07,正接触器独立执行反馈候选,P1,HV_SPECIAL_TIMELINE,180,由正接触器退出顺序需求推导,PARTIALLY_VALIDATED,MEDIUM,DBC_VERSION_CONFLICT+PHYSICAL_MEANING_UNCONFIRMED,YES,ACCEPT,正接触器独立执行反馈候选,P1,HV_SPECIAL_TIMELINE,180,HUMAN,接受为0x20A正接触器执行候选；保持多DBC和实验验证边界,User,2026-09-02,高压包正接触器状态候选
TM3-008,APPROVED,THIS_EXPERIMENT_ONLY,HVP_packContNegativeState,HVP_packContNegativeState,HVP_contactorState,0x20A,enum,ER-05+ER-07,负接触器独立执行反馈候选,P1,HV_SPECIAL_TIMELINE,190,由负接触器退出顺序需求推导,PARTIALLY_VALIDATED,MEDIUM,DBC_VERSION_CONFLICT+PHYSICAL_MEANING_UNCONFIRMED,YES,ACCEPT,负接触器独立执行反馈候选,P1,HV_SPECIAL_TIMELINE,190,HUMAN,接受为0x20A负接触器执行候选；保持多DBC和实验验证边界,User,2026-09-02,高压包负接触器状态候选
TM3-008,APPROVED,THIS_EXPERIMENT_ONLY,BMS_packVoltage,BMS_packVoltage,BMS_hvBusStatus,0x132,V,ER-01+ER-05,Pack端高压背景反馈,P1,HV_CHAIN_TABLE,200,由区分Pack端电压与下游母线响应需求推导,STRONGLY_SUPPORTED,HIGH,BOUNDARY_CROSSING,YES,ACCEPT,Pack端高压背景反馈,P1,HV_CHAIN_TABLE,200,HUMAN,接受为Pack侧物理背景；不能证明接触器下游母线去电,User,2026-09-02,动力电池包端电压
TM3-008,APPROVED,THIS_EXPERIMENT_ONLY,PCS_dcdcHvBusVolt,PCS_dcdcHvBusVolt,PCS_dcdcBusStatus,0x2B4,V,ER-05+ER-06,PCS所见高压母线物理响应候选,P0,CORE_TIMELINE+HV_CHAIN_TABLE,210,由接触器下游高压退出物理反馈需求推导,SEMANTIC_VALIDATION_FAILED,LOW,DBC_VERSION_CONFLICT+PHYSICAL_MEANING_UNCONFIRMED,YES,ACCEPT,PCS所见高压母线物理响应候选,P0,CORE_TIMELINE+HV_CHAIN_TABLE,210,HUMAN,接受为P0下游母线Signal Validation目标；保留SEMANTIC_VALIDATION_FAILED且验证失败时ER-05维持GAP,User,2026-09-02,PCS侧高压母线电压候选
TM3-008,APPROVED,THIS_EXPERIMENT_ONLY,PCS_dcdcHvBusDischargeStatus,PCS_dcdcHvBusDischargeStatus,PCS_dcdcStatus,0x224,enum,ER-05+ER-06+ER-07,高压母线主动放电执行候选,P1,HV_SPECIAL_TIMELINE+DCDC_SPECIAL_TABLE,220,由下电过程中母线放电执行需求推导,INSUFFICIENT_EVIDENCE,MEDIUM,SEMANTIC_CANDIDATE+SUFFICIENCY_RULE_UNCONFIRMED,YES,ACCEPT,高压母线主动放电执行候选,P1,HV_SPECIAL_TIMELINE+DCDC_SPECIAL_TABLE,220,HUMAN,接受为主动放电执行候选；不能单独证明母线已经去电,User,2026-09-02,DCDC高压母线放电状态候选
TM3-008,APPROVED,THIS_EXPERIMENT_ONLY,PCS_dcdcMainState,PCS_dcdcMainState,PCS_dcdcStatus,0x224,enum,ER-01+ER-06+ER-07,DCDC状态机/执行反馈,P0,CORE_TIMELINE+DCDC_TABLE,230,由DCDC退出或保持状态需求推导,SEMANTIC_VALIDATION_FAILED,LOW,PHYSICAL_MEANING_UNCONFIRMED+SUFFICIENCY_RULE_UNCONFIRMED,YES,OVERRIDE,DCDC主状态机执行候选（低可信验证目标）,P1,DCDC_SPECIAL_TABLE+ENGINEERING_AUDIT,230,HUMAN,Draft成熟度已修正为SEMANTIC_VALIDATION_FAILED/LOW；重新Review后保留为P1验证候选,User,2026-09-02,DCDC主状态机候选
TM3-008,APPROVED,THIS_EXPERIMENT_ONLY,PCS_dcdc12VSupportStatus,PCS_dcdc12VSupportStatus,PCS_dcdcStatus,0x224,enum,ER-01+ER-06,12V支持执行状态,P0,CORE_TIMELINE+DCDC_TABLE,240,由低压支持退出或保持需求推导,PARTIALLY_VALIDATED,MEDIUM,MULTIPLE_POSSIBLE_ROLES,YES,ACCEPT,12V支持执行状态,P0,CORE_TIMELINE+DCDC_TABLE,240,HUMAN,接受为12V支持执行状态；必须与低压物理反馈交叉,User,2026-09-02,DCDC 12V支持状态候选
TM3-008,APPROVED,THIS_EXPERIMENT_ONLY,PCS_dcdcLvBusVolt,PCS_dcdcLvBusVolt,PCS_dcdcBusStatus,0x2B4,V,ER-01+ER-06,PCS侧低压母线反馈候选,P0,CORE_TIMELINE+DCDC_TABLE,250,由DCDC状态变化的低压物理响应需求推导,PARTIALLY_VALIDATED,MEDIUM,DBC_VERSION_CONFLICT+BOUNDARY_CROSSING,YES,ACCEPT,PCS侧低压母线反馈候选,P0,CORE_TIMELINE+DCDC_TABLE,250,HUMAN,接受为PCS侧低压物理响应候选；不替代外部12V实测,User,2026-09-02,PCS侧低压母线电压候选
TM3-008,APPROVED,THIS_EXPERIMENT_ONLY,PCS_dcdcLvOutputCurrent,PCS_dcdcLvOutputCurrent,PCS_dcdcBusStatus,0x2B4,A,ER-06,DCDC输出电流响应候选,P1,DCDC_SPECIAL_TABLE,260,由DCDC输出响应方向需求推导,QUANTITATIVE_SEMANTICS_UNVALIDATED,LOW,DBC_VERSION_CONFLICT+PHYSICAL_MEANING_UNCONFIRMED,YES,ACCEPT,DCDC输出电流响应候选,P1,DCDC_SPECIAL_TABLE,260,HUMAN,接受为低压输出响应候选；保留符号位宽缩放冲突和定量未验证边界,User,2026-09-02,PCS侧DCDC低压输出电流候选
TM3-008,APPROVED,THIS_EXPERIMENT_ONLY,BMS_nmGoingToSleep,BMS_nmGoingToSleep,BMS_vehNm,0x2F2,boolean,ER-08+ER-09,BMS网络管理下电请求/状态候选,P1,CORE_TIMELINE+NETWORK_WAKE_SUMMARY,270,由BMS网络退出过程需求推导,INSUFFICIENT_EVIDENCE,LOW,MULTIPLE_POSSIBLE_ROLES+SEMANTIC_CANDIDATE,YES,OVERRIDE,BMS网络管理阶段系统结果候选,P1,CORE_TIMELINE+NETWORK_WAKE_SUMMARY,270,HUMAN,接受收窄为网络管理状态；不得标为REQUEST或COMMAND,User,2026-09-02,BMS网络管理准备休眠候选
TM3-008,APPROVED,THIS_EXPERIMENT_ONLY,BMS_hvsBusAsleep,BMS_hvsBusAsleep,BMS_vehNm,0x2F2,boolean,ER-08+ER-09,BMS所见总线休眠反馈候选,P1,NETWORK_WAKE_SUMMARY,280,由网络休眠结果交叉验证需求推导,INSUFFICIENT_EVIDENCE,LOW,PROXY_OBSERVATION+BOUNDARY_CROSSING,YES,ACCEPT,BMS所见总线休眠反馈候选,P1,NETWORK_WAKE_SUMMARY,280,HUMAN,接受为BMS消费者视角总线状态；不得外推整车网络,User,2026-09-02,BMS所见车辆总线休眠状态候选
TM3-008,APPROVED,THIS_EXPERIMENT_ONLY,BMS_nmKeepAwakeReason,BMS_nmKeepAwakeReason,BMS_vehNm,0x2F2,enum,ER-08+ER-09,BMS保持唤醒原因候选,P2,ENGINEERING_AUDIT+NETWORK_WAKE_SUMMARY,290,由末段仍通信时的替代解释需求推导,INSUFFICIENT_EVIDENCE,LOW,SEMANTIC_CANDIDATE+SUFFICIENCY_RULE_UNCONFIRMED,YES,ACCEPT,BMS保持唤醒原因候选,P2,ENGINEERING_AUDIT+NETWORK_WAKE_SUMMARY,290,HUMAN,接受为DIAGNOSTIC_CONTEXT；不能单独确认唤醒根因,User,2026-09-02,BMS网络管理保持唤醒原因候选
TM3-008,APPROVED,THIS_EXPERIMENT_ONLY,GTW_nmGoingToSleep,GTW_nmGoingToSleep,GTW_vehNm,0x458,boolean,ER-08+ER-09,网关网络管理准备休眠候选,P1,CORE_TIMELINE+NETWORK_WAKE_SUMMARY,300,由网关发布的网络退出过程需求推导,INSUFFICIENT_EVIDENCE,LOW,MULTIPLE_POSSIBLE_ROLES+SEMANTIC_CANDIDATE,YES,OVERRIDE,网关网络管理阶段系统结果候选,P1,CORE_TIMELINE+NETWORK_WAKE_SUMMARY,300,HUMAN,接受收窄为网络管理状态；不得标为REQUEST或COMMAND,User,2026-09-02,网关网络管理准备休眠候选
TM3-008,APPROVED,THIS_EXPERIMENT_ONLY,GTW_VEHBusAsleep,GTW_VEHBusAsleep,GTW_vehNm,0x458,boolean,ER-08+ER-09,网关所见车辆总线休眠反馈候选,P1,NETWORK_WAKE_SUMMARY,310,由车辆总线休眠结果交叉验证需求推导,INSUFFICIENT_EVIDENCE,LOW,PROXY_OBSERVATION+BOUNDARY_CROSSING,YES,ACCEPT,网关所见车辆总线休眠反馈候选,P1,NETWORK_WAKE_SUMMARY,310,HUMAN,接受为网关消费者视角VEH总线状态；不得外推全部网络,User,2026-09-02,网关所见车辆总线休眠状态候选
TM3-008,APPROVED,THIS_EXPERIMENT_ONLY,GTW_chBusAsleep,GTW_chBusAsleep,GTW_vehNm,0x458,boolean,ER-08+ER-09,网关所见底盘总线休眠反馈候选,P2,NETWORK_WAKE_SUMMARY,320,由分域网络退出差异需求推导,INSUFFICIENT_EVIDENCE,LOW,PROXY_OBSERVATION+STATE_APPLICABILITY_UNCERTAIN,YES,OVERRIDE,网关所见CH总线消费者状态候选,P2,NETWORK_WAKE_SUMMARY,320,HUMAN,接受收窄方案；仅在CH总线和采集域适配确认后使用,User,2026-09-02,网关所见底盘总线休眠状态候选
TM3-008,APPROVED,THIS_EXPERIMENT_ONLY,GTW_nmKeepAwakeReason,GTW_nmKeepAwakeReason,GTW_vehNm,0x458,enum,ER-08+ER-09,网关保持唤醒原因候选,P2,ENGINEERING_AUDIT+NETWORK_WAKE_SUMMARY,330,由末段持续通信的替代解释需求推导,INSUFFICIENT_EVIDENCE,LOW,SEMANTIC_CANDIDATE+SUFFICIENCY_RULE_UNCONFIRMED,YES,ACCEPT,网关保持唤醒原因候选,P2,ENGINEERING_AUDIT+NETWORK_WAKE_SUMMARY,330,HUMAN,接受为DIAGNOSTIC_CONTEXT；不替代ER-10无干预记录或形成故障结论,User,2026-09-02,网关网络管理保持唤醒原因候选
