candidate,decision,priority,w1_w2_w3_median_raw,w1_w2_w3_range_raw,w1_w2_w3_mode_fraction,fall_xor_mask_hex,rise_xor_mask_hex,w2_unique_raw,dominant_nonzero_mod_delta,dominant_delta_fraction,reason,semantic_status
0x2A3/DLC7/B1,DOWNRANK,P3,64/0/64,64/0/64,0.907/1.000/0.903,0x40,0x40,1,,0.0,变化较小、窗口内存在额外层级或恢复偏差，当前不能排除慢漂移或偶然共变,ANONYMOUS_RAW_ONLY
0x2A7/DLC8/B5,DOWNRANK,P3,152/148/152,0/4/4,1.000/0.996/0.930,0x0C,0x0C,2,252,0.5,变化较小、窗口内存在额外层级或恢复偏差，当前不能排除慢漂移或偶然共变,ANONYMOUS_RAW_ONLY
0x2D2/DLC8/B0,DOWNRANK,P3,123/117/121,1/2/2,0.930/0.605/0.801,0x0E,0x0C,3,255,0.504808,变化较小、窗口内存在额外层级或恢复偏差，当前不能排除慢漂移或偶然共变,ANONYMOUS_RAW_ONLY
0x123/DLC8/B2,REJECT_BYTE_LEVEL,X,18/0/18,18/18/18,0.501/0.500/0.500,0x12,0x12,2,18,0.5,完整payload在三个窗口相同并按两页交替；中位数差异由奇偶样本数翻转造成,ANONYMOUS_RAW_ONLY
0x123/DLC8/B3,REJECT_BYTE_LEVEL,X,146/0/146,146/146/146,0.501/0.500/0.500,0x92,0x92,2,146,0.5,完整payload在三个窗口相同并按两页交替；中位数差异由奇偶样本数翻转造成,ANONYMOUS_RAW_ONLY
0x123/DLC8/B4,REJECT_BYTE_LEVEL,X,210/0/210,210/210/210,0.501/0.500/0.500,0xD2,0xD2,2,210,0.5,完整payload在三个窗口相同并按两页交替；中位数差异由奇偶样本数翻转造成,ANONYMOUS_RAW_ONLY
0x123/DLC8/B7,REJECT_BYTE_LEVEL,X,128/0/128,128/128/128,0.501/0.500/0.500,0x80,0x80,2,128,1.0,完整payload在三个窗口相同并按两页交替；中位数差异由奇偶样本数翻转造成,ANONYMOUS_RAW_ONLY
0x212/DLC8/B1,REJECT_WEAK,X,220/156/220,192/64/192,0.501/0.940/0.602,0x40,0x40,2,192,0.5,未通过稳定性、周期性或可逆边沿复核,ANONYMOUS_RAW_ONLY
0x238/DLC8/B6,REJECT_COUNTER_OR_CYCLE,X,134/118/134,240/240/240,0.064/0.064/0.063,0xF0,0xF0,16,16,1.0,W2内非零步进的主模差为16，占1.000；窗口中位数是相位/时间位置伪影,ANONYMOUS_RAW_ONLY
0x23E/DLC8/B7,REJECT_COUNTER_OR_CYCLE,X,132/128/132,255/255/255,0.049/0.026/0.021,0x04,0x04,213,16,0.934583,W2内非零步进的主模差为16，占0.935；窗口中位数是相位/时间位置伪影,ANONYMOUS_RAW_ONLY
0x284/DLC8/B7,REJECT_COUNTER_OR_CYCLE,X,142/126/142,240/240/240,0.064/0.064/0.063,0xF0,0xF0,16,16,1.0,W2内非零步进的主模差为16，占1.000；窗口中位数是相位/时间位置伪影,ANONYMOUS_RAW_ONLY
0x2EC/DLC3/B2,REJECT_COUNTER_OR_CYCLE,X,133/117/133,240/240/240,0.063/0.063/0.063,0xF0,0xF0,16,16,1.0,W2内非零步进的主模差为16，占1.000；窗口中位数是相位/时间位置伪影,ANONYMOUS_RAW_ONLY
0x300/DLC8/B2,REJECT_PERIODIC_OR_MULTIPAGE,X,2/0/4,206/206/206,0.500/0.504/0.495,0x02,0x04,4,206,0.208333,窗口内持续多页/周期切换或宽范围循环，byte中位数不足以形成阶跃证据,ANONYMOUS_RAW_ONLY
0x310/DLC8/B0,REJECT_WEAK,X,15/13/17,10/10/10,0.167/0.171/0.180,0x02,0x1C,6,1,0.333333,未通过稳定性、周期性或可逆边沿复核,ANONYMOUS_RAW_ONLY
0x318/DLC8/B2,REJECT_COUNTER_OR_CYCLE,X,32/29/31,59/59/59,0.029/0.017/0.020,0x3D,0x02,60,1,0.982906,W2内非零步进的主模差为1，占0.983；窗口中位数是相位/时间位置伪影,ANONYMOUS_RAW_ONLY
0x318/DLC8/B6,REJECT_COUNTER_OR_CYCLE,X,49/47/49,30/30/30,0.063/0.063/0.063,0x1E,0x1E,16,2,0.937819,W2内非零步进的主模差为2，占0.938；窗口中位数是相位/时间位置伪影,ANONYMOUS_RAW_ONLY
0x321/DLC8/B6,REJECT_COUNTER_OR_CYCLE,X,128/112/128,240/240/240,0.071/0.068/0.068,0xF0,0xF0,16,16,1.0,W2内非零步进的主模差为16，占1.000；窗口中位数是相位/时间位置伪影,ANONYMOUS_RAW_ONLY
0x330/DLC8/B1,REJECT_PERIODIC_OR_MULTIPAGE,X,41/5/41,255/255/255,0.250/0.255/0.256,0x2C,0x2C,6,255,0.292683,窗口内持续多页/周期切换或宽范围循环，byte中位数不足以形成阶跃证据,ANONYMOUS_RAW_ONLY
0x330/DLC8/B7,REJECT_PERIODIC_OR_MULTIPAGE,X,25.5/0/25.5,208/208/208,0.500/0.511/0.500,0x19,0x19,5,48,0.173913,窗口内持续多页/周期切换或宽范围循环，byte中位数不足以形成阶跃证据,ANONYMOUS_RAW_ONLY
0x372/DLC8/B4,REJECT_PERIODIC_OR_MULTIPAGE,X,13/8/14,255/255/255,0.467/0.468/0.466,0x05,0x06,26,15,0.199319,窗口内持续多页/周期切换或宽范围循环，byte中位数不足以形成阶跃证据,ANONYMOUS_RAW_ONLY
0x372/DLC8/B5,REJECT_PERIODIC_OR_MULTIPAGE,X,13/7/13,248/248/248,0.400/0.400/0.400,0x0A,0x0A,13,255,0.077276,窗口内持续多页/周期切换或宽范围循环，byte中位数不足以形成阶跃证据,ANONYMOUS_RAW_ONLY
0x38B/DLC8/B2,REJECT_COUNTER_OR_CYCLE,X,71/63/71,120/120/120,0.071/0.068/0.068,0x78,0x78,16,8,0.940171,W2内非零步进的主模差为8，占0.940；窗口中位数是相位/时间位置伪影,ANONYMOUS_RAW_ONLY
0x3A1/DLC8/B6,REJECT_WEAK,X,130/112/130,238/238/238,0.063/0.063/0.063,0xF2,0xF2,16,14,0.500213,未通过稳定性、周期性或可逆边沿复核,ANONYMOUS_RAW_ONLY
0x3E9/DLC8/B1,REJECT_PERIODIC_OR_MULTIPAGE,X,128/0/128,128/128/128,0.658/0.532/0.867,0x80,0x80,2,128,1.0,窗口内持续多页/周期切换或宽范围循环，byte中位数不足以形成阶跃证据,ANONYMOUS_RAW_ONLY
0x3E9/DLC8/B2,REJECT_PERIODIC_OR_MULTIPAGE,X,2/0/2,2/2/2,0.658/0.532/0.867,0x02,0x02,2,2,0.52381,窗口内持续多页/周期切换或宽范围循环，byte中位数不足以形成阶跃证据,ANONYMOUS_RAW_ONLY
0x40A/DLC8/B6,REJECT_COUNTER_OR_CYCLE,X,120/112/120,240/240/240,0.063/0.063/0.062,0x08,0x08,16,16,1.0,W2内非零步进的主模差为16，占1.000；窗口中位数是相位/时间位置伪影,ANONYMOUS_RAW_ONLY
0x420/DLC8/B6,REJECT_PERIODIC_OR_MULTIPAGE,X,64/0/64,128/128/128,0.500/0.500/0.500,0x40,0x40,2,128,1.0,窗口内持续多页/周期切换或宽范围循环，byte中位数不足以形成阶跃证据,ANONYMOUS_RAW_ONLY
0x4E2/DLC8/B1,REJECT_PERIODIC_OR_MULTIPAGE,X,40/36/40,192/192/192,0.250/0.250/0.250,0x0C,0x0C,11,186,0.143135,窗口内持续多页/周期切换或宽范围循环，byte中位数不足以形成阶跃证据,ANONYMOUS_RAW_ONLY
0x552/DLC8/B7,REJECT_COUNTER_OR_CYCLE,X,135/119/135,240/240/240,0.063/0.063/0.063,0xF0,0xF0,16,16,1.0,W2内非零步进的主模差为16，占1.000；窗口中位数是相位/时间位置伪影,ANONYMOUS_RAW_ONLY
0x553/DLC8/B7,REJECT_COUNTER_OR_CYCLE,X,136/120/136,240/240/240,0.063/0.063/0.063,0xF0,0xF0,16,16,1.0,W2内非零步进的主模差为16，占1.000；窗口中位数是相位/时间位置伪影,ANONYMOUS_RAW_ONLY
0x752/DLC8/B5,REJECT_PERIODIC_OR_MULTIPAGE,X,37/20/40,193/192/193,0.214/0.288/0.214,0x31,0x3C,18,118,0.10101,窗口内持续多页/周期切换或宽范围循环，byte中位数不足以形成阶跃证据,ANONYMOUS_RAW_ONLY
0x789/DLC4/B3,REJECT_COUNTER_OR_CYCLE,X,135/119/135,240/240/240,0.063/0.063/0.063,0xF0,0xF0,16,16,1.0,W2内非零步进的主模差为16，占1.000；窗口中位数是相位/时间位置伪影,ANONYMOUS_RAW_ONLY
0x7AA/DLC8/B3,REJECT_PERIODIC_OR_MULTIPAGE,X,138/89/139,255/255/255,0.167/0.155/0.155,0xD3,0xD2,143,60,0.078238,窗口内持续多页/周期切换或宽范围循环，byte中位数不足以形成阶跃证据,ANONYMOUS_RAW_ONLY
