experiment_id,signal_key,signal,message,can_id,unit,evidence_requirement,suggested_role,suggested_priority,suggested_report_position,suggested_order,derivation_reason,semantic_status,confidence,uncertainty_flags,review_required
TM3-007,PCS_dcdcHvBusVolt,PCS_dcdcHvBusVolt,PCS_dcdcBusStatus,0x2B4,V,ER-06+ER-08,PCS所见高压母线反馈,P0,CORE_TIMELINE+HV_CHAIN_TABLE,120,由外部高压母线建立反馈需求推导,QUANTITATIVE_SEMANTICS_UNVALIDATED,MEDIUM,PHYSICAL_CLOSURE_REQUIRED,YES
TM3-007,HVP_hvilStatus,HVP_hvilStatus,HVP_contactorState,0x20A,enum,ER-05,HVIL安全条件,P1,SAFETY_CONDITION_TABLE+HV_CHAIN_TABLE,130,由上电安全检查中HVIL节点推导,QUANTITATIVE_SEMANTICS_UNVALIDATED,LOW,DBC_VERSION_CONFLICT+DLC_CONFLICT,YES
TM3-007,BMS_isolationResistance,BMS_isolationResistance,BMS_status,0x212,kOhm,ER-05,绝缘安全条件背景,P1,SAFETY_CONDITION_TABLE,140,由上电安全检查中绝缘节点推导,PARTIALLY_VALIDATED,MEDIUM,OEM_THRESHOLD_UNKNOWN+SNA_CHECK_REQUIRED,YES
TM3-007,HVP_packContNegativeState,HVP_packContNegativeState,HVP_contactorState,0x20A,enum,ER-06,负接触器执行反馈候选,P1,HV_SPECIAL_TIMELINE,150,由接触器执行顺序需求推导,QUANTITATIVE_SEMANTICS_UNVALIDATED,LOW,DBC_VERSION_CONFLICT+DLC_CONFLICT,YES
TM3-007,HVP_packContPositiveState,HVP_packContPositiveState,HVP_contactorState,0x20A,enum,ER-06,正接触器/预充执行反馈候选,P1,HV_SPECIAL_TIMELINE,160,由预充与接触器执行顺序需求推导,QUANTITATIVE_SEMANTICS_UNVALIDATED,LOW,DBC_VERSION_CONFLICT+DLC_CONFLICT,YES
TM3-007,PCS_dcdcMainState,PCS_dcdcMainState,PCS_dcdcStatus,0x224,enum,ER-08+ER-09,DCDC状态机/执行反馈,P0,CORE_TIMELINE+DCDC_TABLE,170,由DCDC启动与稳定运行需求推导,PARTIALLY_VALIDATED,MEDIUM,ENUM_REQUIRES_PHYSICAL_FEEDBACK,YES
TM3-007,PCS_dcdc12VSupportStatus,PCS_dcdc12VSupportStatus,PCS_dcdcStatus,0x224,enum,ER-08,12V支持状态,P1,DCDC_SPECIAL_TABLE,180,由低压供电状态节点推导,PARTIALLY_VALIDATED,MEDIUM,ROLE_OVERLAP_UNCERTAIN,YES
TM3-007,PCS_dcdcLvBusVolt,PCS_dcdcLvBusVolt,PCS_dcdcBusStatus,0x2B4,V,ER-08+ER-09,低压母线执行反馈,P0,CORE_TIMELINE+DCDC_TABLE,190,由DCDC低压母线反馈需求推导,PARTIALLY_VALIDATED,MEDIUM,PCS_SIDE_NOT_EXTERNAL_METER,YES
TM3-007,PCS_dcdcLvOutputCurrent,PCS_dcdcLvOutputCurrent,PCS_dcdcBusStatus,0x2B4,A,ER-08,DCDC输出响应,P1,DCDC_SPECIAL_TABLE,200,由DCDC输出反馈需求推导,QUANTITATIVE_SEMANTICS_UNVALIDATED,LOW,DBC_VERSION_CONFLICT+SIGN_CONFLICT,YES
TM3-007,DI_keepAliveRequest,DI_keepAliveRequest,DI_systemStatus,0x118,boolean,ER-01+ER-09,电驱保持唤醒候选,P2,ENGINEERING_AUDIT+CONDITION_SUMMARY,210,由唤醒保持分支的候选观测需求推导,INSUFFICIENT_EVIDENCE,LOW,PROXY_OBSERVATION+SCOPE_UNCERTAIN,YES
TM3-007,GTW_BMP_AWAKE_PIN,GTW_BMP_AWAKE_PIN,GTW_bmpDebug,0x113,boolean,ER-01,网关唤醒代理候选,P2,ENGINEERING_AUDIT+NETWORK_WAKE_SUMMARY,220,由网关唤醒观测缺口推导,INSUFFICIENT_EVIDENCE,LOW,NON_ONYX_DEFINITION+PROXY_OBSERVATION,YES
TM3-007,UI_lockRequest,UI_lockRequest,UI_vehicleControl,0x273,enum,ER-02,解/落锁请求候选,P2,ENGINEERING_AUDIT+BODY_INPUT_TABLE,230,由解锁请求直接观测缺口推导,INSUFFICIENT_EVIDENCE,LOW,NON_ONYX_DEFINITION+REQUEST_SOURCE_UNCERTAIN,YES
