experiment_id,signal,chinese_semantic,control_role,suggested_priority,message,can_id,mux,unit,dbc_source,semantic_status,confidence,uncertainty_flags,review_status
TM3-015,VCFRONT_tempCoolantBatInlet,电池回路冷却液入口温度候选,热管理反馈,P1,VCFRONT_sensors,0x321,无,degC,input/tesla_model3_ONYX.dbc,DBC定义候选,MEDIUM,PHYSICAL_MEANING_UNCONFIRMED,PENDING
TM3-015,VCFRONT_coolantFlowBatTarget,电池回路冷却液目标流量候选,执行目标,P1,VCFRONT_coolant,0x241,无,LPM,input/tesla_model3_ONYX.dbc,DBC定义候选,MEDIUM,PHYSICAL_MEANING_UNCONFIRMED,PENDING
TM3-015,VCFRONT_coolantFlowBatActual,电池回路冷却液实际流量候选,执行反馈,P1,VCFRONT_coolant,0x241,无,LPM,input/tesla_model3_ONYX.dbc,DBC定义候选,MEDIUM,PHYSICAL_MEANING_UNCONFIRMED,PENDING
TM3-015,VCFRONT_pumpBatteryRPMTarget,电池冷却液泵目标转速候选,执行目标,P2,VCFRONT_logging10Hz,0x2C1,m0,rpm,input/tesla_model3_ONYX.dbc,DBC定义候选,LOW,MUX_APPLICABILITY_UNCONFIRMED+PHYSICAL_MEANING_UNCONFIRMED,PENDING
TM3-015,VCFRONT_pumpBatteryRPMActual,电池冷却液泵实际转速候选,执行反馈,P2,VCFRONT_logging10Hz2,0x201,m0,rpm,input/tesla_model3_ONYX.dbc,DBC定义候选,LOW,MUX_APPLICABILITY_UNCONFIRMED+PHYSICAL_MEANING_UNCONFIRMED,PENDING
TM3-015,VCFRONT_chillerDemandActive,Chiller制冷需求激活候选状态,热管理决策/请求,P2,VCFRONT_status,0x2E1,m3,enum,input/tesla_model3_ONYX.dbc,DBC定义候选,LOW,MUX_APPLICABILITY_UNCONFIRMED+MULTIPLE_POSSIBLE_ROLES,PENDING
TM3-015,VCFRONT_chillerExvFlowTarget,Chiller电子膨胀阀目标开度候选,执行目标,P2,VCFRONT_logging10Hz2,0x201,m5,%,input/tesla_model3_ONYX.dbc,DBC定义候选,LOW,MUX_APPLICABILITY_UNCONFIRMED+PHYSICAL_MEANING_UNCONFIRMED,PENDING
TM3-015,VCFRONT_chillerExvFlow,Chiller电子膨胀阀实际开度候选,执行反馈,P2,VCFRONT_logging10Hz2,0x201,m3,%,input/tesla_model3_ONYX.dbc,DBC定义候选,LOW,MUX_APPLICABILITY_UNCONFIRMED+PHYSICAL_MEANING_UNCONFIRMED,PENDING
TM3-015,VCFRONT_compressorTargetDuty,压缩机目标占空比候选,执行目标,P2,VCFRONT_compressorRequest,0x281,无,%,input/tesla_model3_ONYX.dbc,DBC定义候选,MEDIUM,PHYSICAL_MEANING_UNCONFIRMED,PENDING
TM3-015,VCFRONT_compressorEnable,压缩机使能请求候选,执行目标,P2,VCFRONT_compressorRequest,0x281,无,enum,input/tesla_model3_ONYX.dbc,DBC定义候选,MEDIUM,MULTIPLE_POSSIBLE_ROLES+PHYSICAL_MEANING_UNCONFIRMED,PENDING
TM3-015,VCFRONT_compressorState,压缩机运行状态候选,执行反馈,P2,VCFRONT_logging10Hz2,0x201,m2,enum,input/tesla_model3_ONYX.dbc,DBC定义候选,LOW,MUX_APPLICABILITY_UNCONFIRMED+PHYSICAL_MEANING_UNCONFIRMED,PENDING
TM3-015,VCFRONT_coolantValveAngleTarget,冷却液多通阀目标角度候选,执行目标,P2,VCFRONT_logging10Hz,0x2C1,m2,deg,input/tesla_model3_ONYX.dbc,DBC定义候选,LOW,MUX_APPLICABILITY_UNCONFIRMED+PHYSICAL_MEANING_UNCONFIRMED,PENDING
TM3-015,VCFRONT_coolantValveAngleActual,冷却液多通阀实际角度候选,执行反馈,P2,VCFRONT_logging10Hz,0x2C1,m2,deg,input/tesla_model3_ONYX.dbc,DBC定义候选,LOW,MUX_APPLICABILITY_UNCONFIRMED+PHYSICAL_MEANING_UNCONFIRMED,PENDING
TM3-015,VCFRONT_hpMode,热泵系统运行模式候选,热管理模式,P2,VCFRONT_logging1Hz,0x381,m16,enum,input/tesla_model3_ONYX.dbc,DBC定义候选,LOW,MUX_APPLICABILITY_UNCONFIRMED+PHYSICAL_MEANING_UNCONFIRMED,PENDING
TM3-015,VCFRONT_hpBatteryCool,热泵电池冷却模式候选,热管理模式,P2,VCFRONT_logging1Hz,0x381,m17,enum,input/tesla_model3_ONYX.dbc,DBC定义候选,LOW,MUX_APPLICABILITY_UNCONFIRMED+PHYSICAL_MEANING_UNCONFIRMED,PENDING
TM3-015,VCFRONT_isActiveHeatingBattery,电池主动加热执行状态候选,执行反馈,P2,VCFRONT_status,0x2E1,m0,enum,input/tesla_model3_ONYX.dbc,DBC定义候选,LOW,MUX_APPLICABILITY_UNCONFIRMED+PHYSICAL_MEANING_UNCONFIRMED,PENDING

